line,type,level,gate_num,fixed_0,fixed_1,cop0,cop1,c
10099,-1,21.000000,2095,0.000000,57.000000,0.058594,0.941406,-25.160156,
8672,1,4.000000,562,0.000000,41.000000,0.012928,0.987072,-19.969952,
10097,-1,21.000000,2165,0.000000,46.000000,0.058594,0.941406,-20.304688,
10098,-1,21.000000,2068,0.000000,47.000000,0.058594,0.941406,-20.746094,
7032,2,2.000000,200,24.000000,0.000000,0.981698,0.018302,-11.560752,
7034,2,2.000000,199,23.000000,0.000000,0.976196,0.023804,-10.952511,
7086,2,3.000000,105,20.000000,0.000000,0.994305,0.005695,-9.886095,
9953,-1,16.000000,2115,0.000000,26.000000,0.062500,0.937500,-11.375000,
9966,-1,16.000000,2152,0.000000,24.000000,0.062500,0.937500,-10.500000,
9967,-1,16.000000,2106,0.000000,22.000000,0.062500,0.937500,-9.625000,
8604,2,62.000000,124,15.000000,0.000000,0.998245,0.001755,-7.473676,
7064,2,3.000000,83,17.000000,0.000000,0.975581,0.024419,-8.084881,
8968,1,20.000000,185,9.000000,27.000000,0.029297,0.970703,-8.472656,
10375,-2,16.000000,124,15.000000,0.000000,0.991114,0.008886,-7.366714,
9954,-1,16.000000,2079,0.000000,18.000000,0.062500,0.937500,-7.875000,
7205,2,5.000000,426,21.000000,0.000000,0.905335,0.094665,-8.512025,
8917,1,12.000000,168,12.000000,0.000000,0.994017,0.005983,-5.928205,
7162,2,4.000000,79,14.000000,0.000000,0.986774,0.013226,-6.814840,
15518,3,6.500000,60,0.000000,11.000000,0.009874,0.990126,-5.391385,
7203,2,5.000000,404,19.000000,6.000000,0.949679,0.050321,-5.845824,
7050,2,3.000000,224,13.000000,0.000000,0.934803,0.065197,-5.652437,
7087,2,3.000000,236,13.000000,0.000000,0.933940,0.066060,-5.641225,
8941,1,12.000000,156,8.000000,0.000000,0.993130,0.006870,-3.945038,
7028,2,2.000000,15,4.000000,0.000000,0.998685,0.001315,-1.994742,
7042,2,2.000000,15,4.000000,0.000000,0.997711,0.002289,-1.990845,
10338,-2,6.000000,12,2.000000,0.000000,0.999974,0.000026,-0.999948,
8100,2,25.000000,2013,5.000000,0.000000,0.985352,0.014648,-2.426758,
7100,2,4.000000,7,2.000000,0.000000,0.995534,0.004466,-0.991067,
10342,-2,6.000000,15,3.000000,0.000000,0.995372,0.004628,-1.486116,
10349,-2,5.000000,35,2.000000,0.000000,0.998036,0.001964,-0.996071,
9182,1,46.000000,7,0.000000,2.000000,0.004729,0.995271,-0.990543,
7024,2,2.000000,32,6.000000,0.000000,0.980033,0.019967,-2.880195,
10336,-2,5.000000,58,2.000000,0.000000,0.997222,0.002778,-0.994444,
7089,2,3.000000,18,3.000000,0.000000,0.997130,0.002870,-1.491389,
7084,2,3.000000,51,3.000000,0.000000,0.996799,0.003201,-1.490396,
10345,-2,5.000000,35,2.000000,0.000000,0.986998,0.013002,-0.973996,
8933,1,13.000000,12,2.000000,0.000000,0.952547,0.047453,-0.905095,
10347,-2,5.000000,35,2.000000,0.000000,0.986998,0.013002,-0.973996,
8952,1,13.000000,12,2.000000,0.000000,0.950972,0.049028,-0.901944,
10348,-2,5.000000,35,2.000000,0.000000,0.986998,0.013002,-0.973996,
12679,3,4.500000,54,6.000000,0.000000,0.969378,0.030622,-2.816267,
8913,1,13.000000,12,2.000000,0.000000,0.942878,0.057122,-0.885757,
10351,-2,5.000000,35,2.000000,0.000000,0.986998,0.013002,-0.973996,
7085,2,4.000000,271,5.000000,2.000000,0.949859,0.050141,-1.349577,
14366,3,9.500000,7,1.000000,0.000000,0.999997,0.000003,-0.499997,
8661,1,3.000000,41,0.000000,1.000000,0.002588,0.997412,-0.497412,
7023,2,2.000000,6,2.000000,0.000000,0.977589,0.022411,-0.955178,
9951,-1,15.000000,15,0.000000,4.000000,0.062500,0.937500,-1.750000,
9961,-1,16.000000,251,0.000000,6.000000,0.062500,0.937500,-2.625000,
10340,-2,5.000000,46,2.000000,0.000000,0.986539,0.013461,-0.973077,
10341,-2,6.000000,11,2.000000,0.000000,0.986516,0.013484,-0.973031,
15689,3,17.500000,9,1.000000,0.000000,0.996036,0.003964,-0.496036,
10352,-2,5.000000,18,2.000000,0.000000,0.986998,0.013002,-0.973996,
9184,1,45.000000,562,0.000000,2.000000,0.031065,0.968935,-0.937870,
10335,-2,5.000000,58,2.000000,0.000000,0.986266,0.013734,-0.972532,
7095,2,6.000000,136,3.000000,1.000000,0.949859,0.050141,-0.899718,
8670,1,5.000000,128,0.000000,2.000000,0.029594,0.970406,-0.940811,
8936,1,13.000000,12,2.000000,0.000000,0.970231,0.029769,-0.940462,
14018,3,2.500000,13,1.000000,0.000000,0.959277,0.040723,-0.459277,
15881,3,11.500000,37,1.000000,0.000000,0.955649,0.044351,-0.455649,
8674,1,5.000000,129,0.000000,2.000000,0.064840,0.935160,-0.870321,
10332,-2,5.000000,58,2.000000,0.000000,0.982120,0.017880,-0.964241,
15628,3,12.500000,11,1.000000,0.000000,0.986196,0.013804,-0.486195,
14358,3,8.500000,13,1.000000,0.000000,0.999978,0.000022,-0.499978,
14353,3,8.500000,11,1.000000,0.000000,0.999898,0.000102,-0.499898,
15695,3,17.500000,9,1.000000,0.000000,0.985987,0.014013,-0.485987,
10334,-2,5.000000,58,2.000000,0.000000,0.983142,0.016858,-0.966283,
8955,1,13.000000,12,2.000000,0.000000,0.979477,0.020523,-0.958954,
14176,3,4.500000,6,1.000000,0.000000,0.958162,0.041838,-0.458162,
14177,3,4.500000,6,1.000000,0.000000,0.958162,0.041838,-0.458162,
14178,3,4.500000,6,1.000000,0.000000,0.958162,0.041838,-0.458162,
8911,1,13.000000,12,2.000000,0.000000,0.927455,0.072545,-0.854910,
14175,3,4.500000,6,1.000000,0.000000,0.958162,0.041838,-0.458162,
13499,3,12.500000,8,1.000000,0.000000,0.939165,0.060835,-0.439165,
14174,3,4.500000,6,1.000000,0.000000,0.958162,0.041838,-0.458162,
15687,3,17.500000,9,1.000000,0.000000,0.994448,0.005552,-0.494448,
13693,3,25.500000,858,0.000000,1.000000,0.007812,0.992188,-0.492188,
