line,type,level,gate_num,and,nand,or,nor,not,xor,fixed_0,fixed_1,non_fixed
15793,1,12.000000,1827,528,32,223,10,1034,0,0,149,149,
20293,-2,5.000000,1200,391,58,213,10,528,0,41,0,41,
18108,-1,3.000000,320,135,16,90,30,49,0,9,48,39,
10256,2,6.000000,1003,332,32,175,8,456,0,39,0,39,
10249,2,7.000000,981,314,32,171,8,456,0,38,0,38,
10254,2,6.000000,1136,377,32,205,9,513,0,31,0,31,
10267,2,7.000000,1135,376,32,205,9,513,0,30,0,30,
33503,3,7.500000,98,42,7,28,7,14,0,28,0,28,
18995,-1,5.000000,104,45,7,30,7,15,0,1,29,28,
10227,2,7.000000,1159,381,41,209,10,518,0,28,2,26,
10050,2,6.000000,714,225,29,129,6,325,0,23,0,23,
10045,2,7.000000,725,234,29,131,6,325,0,22,0,22,
10262,2,6.000000,596,184,20,100,5,287,0,21,0,21,
36844,3,9.500000,70,30,5,20,5,10,0,0,20,20,
17772,-1,2.000000,81,32,5,17,18,9,0,0,20,20,
19612,-1,12.000000,69,30,4,20,5,10,0,1,19,18,
17792,-1,2.000000,175,81,2,58,6,28,0,17,35,18,
18773,-1,6.000000,52,23,3,15,4,7,0,1,16,15,
18774,-1,6.000000,52,23,3,15,4,7,0,1,16,15,
20622,-2,15.000000,211,74,4,49,33,51,0,16,1,15,
17715,-1,2.000000,368,149,16,96,27,80,0,0,15,15,
17716,-1,2.000000,346,149,16,96,27,58,0,0,15,15,
10032,2,6.000000,1166,381,48,212,11,514,0,15,0,15,
10239,2,6.000000,1157,376,48,212,11,510,0,15,0,15,
32529,3,9.500000,38,17,2,11,3,5,0,0,12,12,
19874,-2,3.000000,64,28,3,19,3,11,0,13,1,12,
20210,-2,5.000000,64,28,3,19,3,11,0,13,1,12,
20661,-2,10.000000,37,17,2,11,2,5,0,11,1,10,
10237,2,6.000000,1151,375,48,207,9,512,0,9,0,9,
10246,2,6.000000,1158,383,48,206,9,512,0,9,0,9,
35729,3,4.500000,29,12,4,8,0,5,0,0,8,8,
35731,3,4.500000,29,12,4,8,0,5,0,0,8,8,
10038,2,6.000000,1153,379,42,209,11,512,0,8,0,8,
31902,3,9.500000,897,237,48,165,1,446,0,8,0,8,
20127,-2,4.000000,48,20,16,12,0,0,0,8,0,8,
20131,-2,4.000000,48,20,16,12,0,0,0,8,0,8,
18056,-1,4.000000,100,40,8,24,17,11,0,9,16,7,
10232,2,6.000000,1147,375,44,207,9,512,0,7,0,7,
19940,-2,3.000000,65,30,2,20,1,12,0,13,7,6,
37475,3,3.500000,40,15,6,10,4,5,0,5,0,5,
37477,3,3.500000,40,15,6,10,4,5,0,5,0,5,
37695,3,3.500000,40,15,6,10,4,5,0,5,0,5,
37697,3,3.500000,40,15,6,10,4,5,0,5,0,5,
37699,3,3.500000,40,15,6,10,4,5,0,5,0,5,
37479,3,3.500000,40,15,6,10,4,5,0,5,0,5,
37691,3,3.500000,40,15,6,10,4,5,0,5,0,5,
37701,3,3.500000,40,15,6,10,4,5,0,5,0,5,
37251,3,17.500000,14,6,1,4,1,2,0,0,4,4,
15494,1,13.000000,14,4,0,6,0,4,0,0,4,4,
18033,-1,3.000000,7,2,1,2,2,0,0,0,4,4,
35594,3,3.500000,14,6,0,6,0,2,0,0,4,4,
20421,-2,8.000000,12,2,8,2,0,0,0,4,0,4,
20423,-2,8.000000,12,2,8,2,0,0,0,4,0,4,
37462,3,3.500000,36,14,5,13,4,0,0,4,0,4,
37466,3,3.500000,36,14,5,13,4,0,0,4,0,4,
16081,1,18.000000,14,4,0,6,0,4,0,0,4,4,
12843,2,16.000000,58,16,0,15,3,24,0,4,1,3,
12830,2,16.000000,58,16,0,15,3,24,0,4,1,3,
12449,2,14.000000,58,15,4,15,0,24,0,4,1,3,
12439,2,14.000000,58,15,4,15,0,24,0,4,1,3,
10013,2,5.000000,18,7,4,5,0,2,0,4,1,3,
10009,2,5.000000,18,7,4,5,0,2,0,4,1,3,
33971,3,16.500000,7,4,0,2,0,1,0,2,0,2,
33983,3,16.500000,7,4,0,2,0,1,0,2,0,2,
12473,2,14.000000,54,18,0,13,9,14,0,2,0,2,
12461,2,14.000000,54,18,0,13,9,14,0,2,0,2,
33959,3,16.500000,7,4,0,2,0,1,0,2,0,2,
33963,3,16.500000,7,4,0,2,0,1,0,2,0,2,
33975,3,16.500000,7,4,0,2,0,1,0,2,0,2,
12462,2,14.000000,54,18,0,13,9,14,0,2,0,2,
33914,3,14.500000,7,4,0,2,0,1,0,2,0,2,
36639,3,7.500000,16,6,2,4,2,2,0,0,2,2,
36555,3,7.500000,16,6,2,4,2,2,0,0,2,2,
36587,3,7.500000,16,6,2,4,2,2,0,0,2,2,
36625,3,7.500000,16,6,2,4,2,2,0,0,2,2,
36535,3,7.500000,16,6,2,4,2,2,0,0,2,2,
